Type,Ending,Year,EUR,PKR,CNY,INR,HKD,ZAR,IDR,KRW,MYR,PHP,TWD,THB,VND,SAR,ARS,HUF,KWD,MXN,PLN,BRL,QAR,RUB,CLP,TRY,,,,,,,,,,,
PL,September,2019,1.123735068,0.006823973,0.14511389,0.014216452,0.127606,0.069549759,7.03399E-05,0.000863857,0.241232877,0.019208014,0.03229477,0.031825255,4.3026E-05,0.26658137,0.022889041,0.00347211,3.289974521,0.051589671,0.261450137,0.256630685,0.273410959,0.01532674,0.145298877,0.178671425,,,,,,,,,,,
PL,September,2020,1.127121311,0.006210487,0.143544973,0.013565175,0.128776885,0.061471995,6.87931E-05,0.000840848,0.237452459,0.020004087,0.033603456,0.031969142,4.303E-05,0.266460383,0.014979781,0.00324877,3.262179781,0.047217295,0.255492896,0.203355191,0.272495355,0.014269481,0.125746585,0.150264126,,,,,,,,,,,
PL,September,2021,1.20607377,0.006252079,0.15255918,0.013551705,0.128992295,0.066354295,7.07954E-05,0.000908889,0.245732787,0.020775918,0.03532077,0.03316082,4.32238E-05,0.266568852,0.01222459,0.003356885,3.278434426,0.049864918,0.268929508,0.190642623,0.270968852,0.013348361,0.135106557,0.129492131,,,,,,,,,,,
PL,May,2014,1.343636986,0.009821335,0.162842575,0.016431679,0.12894611,0.094101197,8.62665E-05,0.000947283,0.308909315,0.02263197,0.033228633,0.03104163,4.73299E-05,0.266599178,0.13551863,0.00438874,3.526748767,0.07615137,0.320619726,0.434040822,0.274625205,0.028318274,0.180751342,0.469109151,,,,,,,,,,,
PL,May,2015,1.153339178,0.009813677,0.160107315,0.015838477,0.128981205,0.082867389,7.68084E-05,0.000898525,0.270066301,0.022206378,0.031827542,0.029731348,4.61245E-05,0.266559726,0.112851781,0.003736438,3.362359178,0.06590526,0.276368219,0.333819726,0.274629589,0.01808863,0.158746548,0.391858877,,,,,,,,,,,
PL,May,2016,1.109682787,0.009566761,0.152971175,0.01500212,0.128858361,0.068938464,7.48875E-05,0.000866714,0.244507377,0.021278156,0.031019631,0.028417148,4.48486E-05,0.266600273,0.075966667,0.003560956,3.30958388,0.05608877,0.256879235,0.28552377,0.274623224,0.015072923,0.14763306,0.341970874,,,,,,,,,,,
PL,May,2017,1.112225479,0.00952355,0.147554603,0.015197838,0.128506822,0.073943789,7.48396E-05,0.000872441,0.231128219,0.020021195,0.032402729,0.029035047,4.41136E-05,0.266625479,0.062338082,0.003595151,3.29287726,0.052378603,0.258609041,0.311350959,0.273593699,0.016823014,0.152747315,0.284466164,,,,,,,,,,,
PL,May,2018,1.183943288,0.00866399,0.151772192,0.014927323,0.127696712,0.076700918,7.142E-05,0.00091113,0.247131781,0.019220389,0.033307121,0.030854545,4.3639E-05,0.266620274,0.04470411,0.003747726,3.312313151,0.052994055,0.279346027,0.285406575,0.272236438,0.016420438,0.157212384,0.229428164,,,,,,,,,,,
PL,May,2019,1.126847945,0.006982245,0.145910356,0.014245156,0.127578932,0.070090786,7.04093E-05,0.000868877,0.242005753,0.019166863,0.032396926,0.031713052,4.31033E-05,0.266588767,0.024099178,0.003481507,3.29121863,0.051386575,0.261939452,0.257123014,0.273446849,0.015354658,0.146313534,0.182294575,,,,,,,,,,,
PL,May,2020,1.127462022,0.006247296,0.143853852,0.013664137,0.128673306,0.062315137,6.87974E-05,0.000842814,0.238013934,0.019950251,0.033463697,0.031972738,4.30115E-05,0.26646612,0.015674863,0.003270464,3.265671311,0.047793497,0.256478689,0.208764208,0.272572404,0.014366475,0.127315738,0.152337568,,,,,,,,,,,
PL,May,2021,1.179421978,0.006181869,0.148815824,0.013435044,0.129003736,0.063728549,7.06414E-05,0.000882398,0.241823077,0.020515659,0.034786648,0.032812956,4.31724E-05,0.266537363,0.012938462,0.003317582,3.268589011,0.048193297,0.263723077,0.191358242,0.271451648,0.01369978,0.131949121,0.135147033,,,,,,,,,,,
PL,August,2014,1.351042466,0.009802164,0.162675918,0.016338666,0.128955397,0.094353307,8.52824E-05,0.000952061,0.308116164,0.022615129,0.033269282,0.030945868,4.73047E-05,0.266596438,0.134779178,0.004416658,3.531671233,0.076214411,0.323037534,0.434109589,0.274636712,0.028531644,0.18177937,0.468241342,,,,,,,,,,,
