code,c_1,c_2,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_13,c_14,c_15,c_16,c_17,c_18
Code,Apparel & Footwear,Auto,Banks,Beverages,Cement,Dairy,Education,Health Care Supplies,Integrated Oil,Internet & Allied,NBFC,Pharmaceuticals & Biotech,Retail,Semiconductors,Software & IT,Steel
G.6.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
G.6.6,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0
G.7.1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
G.7.2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
G.7.3,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10
G.7.4,10,1,1,10,1,10,1,10,1,1,1,10,1,1,1,1
G.7.5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
G.7.6,10,10,0,10,10,10,0,10,10,10,10,10,10,10,10,10
G.8.1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
G.8.2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
G.8.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
G.8.4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
G.9.1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
G.9.2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
G.9.3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
G.9.4,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
G.10.1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
G.10.2,1,10,10,1,10,10,1,1,10,10,10,10,1,10,10,10
G.10.3,1,1,10,1,1,1,1,1,10,1,10,10,1,1,1,1
G.10.4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
G.10.5,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0
G.10.6,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0
G.10.7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
G.10.8,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
G.10.9,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
G.10.10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
G.11.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
G.11.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
G.11.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
G.11.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
G.12.1,1,1,10,1,1,1,10,1,1,10,10,1,10,1,10,1
G.12.2,1,1,10,1,1,1,10,1,1,10,10,1,10,1,10,1
G.13.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
G.13.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
G.13.3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
G.13.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
G.14.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
G.14.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
G.14.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
G.14.4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
G.14.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
G.14.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
G.15.1,10,10,1,10,1,1,1,10,1,10,10,10,10,10,1,10
G.15.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
G.15.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
G.15.4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,,,,,,,
